Provinsi,City,Univ,Facculty,LPM Name,LINK,Note
Banten,Tanggerang Selatan,UINJkt,Universitas,LPM Journo Liberta,https://journoliberta.com/,Wordpress
Daerah Istimewa Yogyakarta,Sleman,UII,Universitas,LPM Himmah,https://himmahonline.id/,Wordpress
Daerah Istimewa Yogyakarta,Yogyakarta,UAD,Universitas,LPM Poros,https://persmaporos.com/,Wordpress
Jambi,Jambi,Unbari,Universitas,LPM Patriotik,https://patriotik.co/,Wordpress
Jateng,Surakarta,UNS,Universitas,LPM Kentingan,https://saluransebelas.com/,Wordpress
Jawa Barat,Bogor,IPB,Universitas,LPM Koran Kampus,https://korpusipb.com/,Wordpress
Jawa Barat,Depok,UI,Universitas,Suara Mahasiswa,https://suaramahasiswa.com/,Wordpress
Jawa Barat,Tasikmalaya,UNJ,FEB,LPM Eccono Chanel,https://econochannelfebunj.com/,Wordpress
Jawa Barat,Tasikmalaya,UNSIL,Universitas,LPM Gemercik,https://gemercikmedia.com/,Wordpress
Jawa Tengah,Bangkalan,UTM,FEB,LPM Inkams,https://lpminkams-feb.trunojoyo.ac.id/,Blogspot
Jawa Tengah,Jepara,UNISNU,Universitas,LPM Lensa Media,https://opinilensa.blogspot.com/,Blogspot
Jawa Tengah,Kudus,Muria Kudus,Universitas,LPM Pena Kampus,https://www.penakampus.id/,Blogspot
Jawa Tengah,Purwokerto,UIN SAIZU,Universitas,LPM Obsesi,https://www.lpmobsesi.id/,Blogspot
Jawa Tengah,Purwokerto,Unsoed,Faperta,LPM Agrica,https://lpmagricafaperta.wordpress.com/,Blogspot
Jawa Tengah,Purwokerto,Unsoed,Universitas,LPM Skëtsa,https://beritaunsoed.com/,Wordpress
Jawa Tengah,Semarang,UIN Walisongo,FPK,LPM Esensi,https://www.esensimedia.com/,Blogspot
Jawa Tengah,Semarang,UIN Walisongo,FSH,LPM Justisia,https://justisia.com/,Wordpress
Jawa Tengah,Semarang,UNDIP,Universitas,LPM Manunggal,https://manunggal.undip.ac.id/,Wordpress
Jawa Tengah,Solo,UMS,FAI,LPM Islamika,https://islamikaonline.com/,Wordpress
Jawa Tengah,Solo,UMS,FG,LPM Globe,https://www.globe-post.com/,Blogspot
Jawa Tengah,Solo,UMS,Universitas,LPM Pabelan,https://pabelan-online.com/,Wordpress
Jawa Tengah,Surakarta,ISI,Universitas,LPM Intuisi,https://intuisi.isi-ska.ac.id/,Wordpress
Jawa Tengah,Surakarta,UIN RM Said,FAB,LPM Pandawa,https://lpmpandawauinsolo.wordpress.com/,Blogspot
Jawa Tengah,Surakarta,UMS,Universitas,LPM Arrasail,http://lpmarrasail.wordpress.com/,Blogspot
Jawa Tengah,Surakarta,UMS,Universitas,LPM Campus,https://lpmcampus.com/,(old) Wordpress
Jawa Tengah,Tegal,IBN Tegal,Universitas,LPM Laun,https://www.lpmlaun.org/,Blogspot
Jawa Tengah,Temanggung,INISNU,Universitas,LPM GRIP,https://www.lpmgrip.com/,Blogspot
Jawa Timur,Banjarmasin,ULM,FK,LPM HIPPOCAMPUS,https://hippocampusfkulm.wordpress.com/,Wordpress
Jawa Timur,Blitar,UNISBA,Universitas,LPM Freedom,https://www.lpmfreedom-unisba.com,Blogspot
Jawa Timur,Jember,UIJ,Universitas,LPM Mitra,https://www.lpmmitra.id/,Blogspot
Jawa Timur,Jember,UNEJ,FEB,LPME ECPOST,https://www.ecpose.com,Wordpress
Jawa Timur,Jember,UNEJ,FKM,LPM Sinvesta,https://sinvestafkmuj.wordpress.com/,Blogspot
